DURATION,GOAL_DESC,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,POSITION,HEIGHT,WEIGHT,FOOT,GOAL_SCORER,GOAL_SCORER_TEAM_NAME,ASSIST_PLAYER,GOALS,ASSISTS
13,left-footed shot,2018-2019,"Tuesday, November 27, 2018",Bayern München,SL Benfica,Allianz Arena,Midfielder,,,,,#N/A,Thomas Müller,4,2
30,left-footed shot,2018-2019,"Tuesday, November 27, 2018",Bayern München,SL Benfica,Allianz Arena,Midfielder,,,,,#N/A,Thomas Müller,4,2
68,right-footed shot,2020-2021,"Wednesday, April 7, 2021",Bayern München,Paris Saint-Germain,Allianz Arena,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,2,1
79,right-footed shot,2019-2020,"Tuesday, October 22, 2019",Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,3,3
83,left-footed shot,2019-2020,"Tuesday, October 22, 2019",Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,3,3
7,right-footed shot,2019-2020,"Tuesday, October 22, 2019",Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Forward,181,75,R,Mauro Icardi,Paris Saint-Germain,Ángel Di María,2,3
60,right-footed shot,2018-2019,"Tuesday, February 12, 2019",Manchester United,Paris Saint-Germain,Old Trafford,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,1,2
53,left-footed shot,2018-2019,"Tuesday, February 12, 2019",Manchester United,Paris Saint-Germain,Old Trafford,Defender,189,80,L,Presnel Kimpembe,Paris Saint-Germain,Ángel Di María,1,2
74,header,2018-2019,"Tuesday, December 11, 2018",Crvena Zvezda,Paris Saint-Germain,Marakana,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Ángel Di María,1,1
56,header,2019-2020,"Tuesday, August 18, 2020",RB Leipzig,Paris Saint-Germain,Estádio da Luz,Defender,170,67,L,Juan Bernat,Paris Saint-Germain,Ángel Di María,1,2
